path_id,vulnerability_signature,baseline_rank,entry_service_name,entry_service_port,entry_protocol,entry_asset_type,entry_zone,entry_asset_criticality,target_asset_type,target_zone,target_criticality_score,vulnerability_count,cve_count,nvt_only_count,cve_coverage,maximum_cvss,mean_cvss,minimum_cvss,maximum_epss,mean_epss,kev_count,kev_present,hop_count,exploit_stage_count,access_condition_count,scenario_assumption_count,observed_condition_count,average_access_confidence,baseline_risk_score,baseline_risk_level
PATH-0048,1.3.6.1.4.1.25623.1.0.11229,62,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,0,1,0.0,7.5,7.5,7.5,0.0,0.0,0,0,7,1,2,1,1,0.75,43.6694,Medium
PATH-0100,1.3.6.1.4.1.25623.1.0.103114,63,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,0,1,0.0,7.5,7.5,7.5,0.0,0.0,0,0,7,1,2,1,1,0.75,43.6694,Medium
PATH-0105,1.3.6.1.4.1.25623.1.0.11229,64,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,0,1,0.0,7.5,7.5,7.5,0.0,0.0,0,0,7,1,2,1,1,0.75,43.6694,Medium
PATH-0152,1.3.6.1.4.1.25623.1.0.103550,65,http,8080,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,0,1,0.0,7.5,7.5,7.5,0.0,0.0,0,0,7,1,2,1,1,0.75,43.6694,Medium
PATH-0008,CVE-1999-0678,66,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,5.0,5.0,5.0,0.31408,0.31408,0,0,7,1,2,1,1,0.75,43.1549,Medium
PATH-0122,CVE-2010-0636,67,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.8,6.8,6.8,0.01065,0.01065,0,0,7,1,2,1,1,0.75,41.4602,Medium
PATH-0123,CVE-2010-0637,68,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.8,6.8,6.8,0.00599,0.00599,0,0,7,1,2,1,1,0.75,41.3357,Medium
PATH-0022,CVE-2009-4898,69,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,6.8,6.8,6.8,0.00578,0.00578,0,0,7,1,2,1,1,0.75,41.33,Medium
PATH-0124,CVE-2010-0638,70,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.8,6.8,6.8,0.00571,0.00571,0,0,7,1,2,1,1,0.75,41.3282,Medium
PATH-0154,1.3.6.1.4.1.25623.1.0.12085,71,http,8080,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,0,1,0.0,6.8,6.8,6.8,0.0,0.0,0,0,7,1,2,1,1,0.75,41.1756,Medium
PATH-0012,CVE-2005-3398,72,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.13108,0.13108,0,0,7,1,2,1,1,0.75,41.1154,Medium
PATH-0053,CVE-2005-3398,73,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.13108,0.13108,0,0,7,1,2,1,1,0.75,41.1154,Medium
PATH-0111,CVE-2005-3398,74,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.13108,0.13108,0,0,7,1,2,1,1,0.75,41.1154,Medium
PATH-0155,CVE-2012-6708,75,http,8081,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.1,6.1,6.1,0.08632,0.08632,0,0,7,1,2,1,1,0.75,40.9882,Medium
PATH-0003,1.3.6.1.4.1.25623.1.0.900600,76,ftp,21,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,0,1,0.0,6.4,6.4,6.4,0.0,0.0,0,0,7,1,2,1,1,0.75,39.7506,Medium
PATH-0086,CVE-2016-6329,77,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.9,5.9,5.9,0.0594,0.0594,0,0,7,1,2,1,1,0.75,39.5564,Medium
PATH-0097,CVE-2018-6379,78,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.1,6.1,6.1,0.01665,0.01665,0,0,7,1,2,1,1,0.75,39.1267,Medium
PATH-0149,CVE-2018-6379,79,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.1,6.1,6.1,0.01665,0.01665,0,0,7,1,2,1,1,0.75,39.1267,Medium
PATH-0037,CVE-2018-20212,80,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,6.1,6.1,6.1,0.01586,0.01586,0,0,7,1,2,1,1,0.75,39.1056,Medium
PATH-0096,CVE-2018-6378,81,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.1,6.1,6.1,0.01413,0.01413,0,0,7,1,2,1,1,0.75,39.0594,Medium
